idimovel,localizacao,proprietario,preco_compra,preco_aluguel
86330,"Chácara Maria Vitória das Neves, 502
João Pinheiro
19128-289 Moraes / PB",Dr. João Gabriel Oliveira,975571,2679
96316,"Residencial de Sampaio, 90
Paraíso
62770108 Barbosa da Prata / RN",Lorenzo Moura,363399,3770
61443,"Feira das Neves, 5
Vila Rica
64470-977 Mendonça / PA",Juan Ramos,333953,4666
18325,"Colônia Moraes, 49
Vila Pilar
94027426 Novais Alegre / AM",Maria Eduarda Nogueira,642043,4217
9458,"Trevo Samuel Farias, 53
Zilah Sposito
80065944 da Paz / PE",Melissa da Mota,854171,3913
4832,"Aeroporto de Carvalho, 609
Olhos D'água
31885-736 Pereira / TO",Pietro da Conceição,327174,2718
11200,"Núcleo Campos, 933
Nossa Senhora De Fátima
73817254 Alves dos Dourados / RS",Fernando Costela,290799,1680
66241,"Travessa Cassiano, 464
Vila Jardim São José
17572184 Novaes / SP",Sra. Júlia Jesus,942911,4339
47790,"Chácara Casa Grande, 76
Sion
43818-769 Rodrigues de Caldeira / PI",Lara Sousa,178919,2354
67860,"Núcleo Jesus, 78
Cardoso
33330255 Brito das Pedras / AM",Júlia Teixeira,140780,2727
93427,"Núcleo Lucca Cunha, 523
Boa Vista
72630-170 da Conceição / MT",Mariah Porto,929751,3566
44215,"Setor Ramos, 46
Vila Boa Vista
89535-956 Vargas / MA",Enzo Novais,430243,578
2265,"Travessa Guilherme Montenegro, 6
Vera Cruz
95781-928 Leão / PR",Yasmin Ramos,898439,2690
28179,"Favela de da Rosa, 879
Bom Jesus
08686004 Camargo / PB",Guilherme Barbosa,737012,1819
18263,"Núcleo de Novais, 24
Ernesto Nascimento
28352443 Rezende / RR",Amanda da Mata,666646,3472
45448,"Praia de Lima
Castanheira
50428096 Barros / SP",Maria Luísa da Mota,986104,4637
79223,"Ladeira Cavalcanti, 82
São Pedro
81814922 Gomes do Amparo / MG",Isabella Peixoto,666443,4107
86439,"Avenida Lucca Marques, 77
Horto
79869-362 Novais / RR",Lucca Andrade,607741,1784
34535,"Esplanada da Paz
Copacabana
21862661 Viana de Borges / SP",Anna Liz Moreira,213862,4712
4179,"Condomínio das Neves, 32
Jardim Atlântico
84321197 Martins de Minas / RS",Sra. Ayla Freitas,198787,2144
8475,"Vila de Machado, 72
São Jorge 3ª Seção
24768610 Monteiro do Sul / RN",Manuella Rodrigues,862594,1463
25736,"Esplanada Joana Teixeira
Gameleira
51173-991 Campos / MT",Davi Lucas Alves,123714,1564
38496,"Praça de Novais, 20
Santa Branca
01289266 Jesus / RS",Júlia da Cunha,89963,2127
50219,"Estrada de Marques
Conjunto Jardim Filadélfia
88336-318 Fogaça / SE",Nicole Nunes,586154,4757
10144,"Chácara Cauê Vieira, 17
Belvedere
10537182 Andrade do Amparo / AM",Calebe Mendes,174754,3136
73544,"Colônia Viana, 50
Vila Esplanada
69851-282 Lima Verde / PR",Sofia Campos,591392,1637
77425,"Parque de Abreu, 802
Novo Das Industrias
82460418 Pastor de Minas / AP",Aylla Correia,842259,4823
87273,"Estrada Raquel da Mata, 4
São Jorge 1ª Seção
00874428 da Cunha da Prata / PE",Antony Lopes,730486,4584
36598,"Área Barros, 47
Betânia
08409053 Cavalcanti / PA",Allana Cardoso,774115,3244
16847,"Rodovia Freitas, 75
Vila Jardim Leblon
32876-281 Oliveira / CE",Cecília da Conceição,689351,4946
95092,"Trecho Souza, 48
Zilah Sposito
36093617 Novaes / SE",Sra. Bianca Correia,343175,2063
12025,"Setor de Monteiro, 544
Funcionários
32708-764 Sousa / SC",Rhavi da Mota,804120,2197
91849,"Jardim de da Mota, 4
Vila Esplanada
82489-411 da Rocha / PI",Eduarda Jesus,387769,550
37240,"Vale Sarah Garcia, 91
Vila Bandeirantes
84911011 Farias dos Dourados / RN",Lara Pinto,960944,2895
83781,"Distrito Caroline Nogueira
Vila Mantiqueira
67847-504 Rezende Grande / AP",Antônio Cavalcanti,853501,2584
79374,"Núcleo Otto da Cruz, 90
Conjunto Bonsucesso
79746639 Oliveira de Rocha / SP",Lucca Pires,960369,842
71406,"Vereda João Cavalcante, 574
Solimoes
12700-081 Alves / MG",Mathias Sampaio,534454,1487
60472,"Aeroporto Sara da Conceição, 19
Conjunto Novo Dom Bosco
77306109 Mendonça / RO",João Miguel Costa,328153,2141
51331,"Área Murilo Barbosa, 74
Vila Paraíso
98838-398 Monteiro dos Dourados / RO",Nathan Oliveira,763784,769
93031,"Feira Ana Julia Vasconcelos, 22
Colégio Batista
16520-206 Mendes / RS",Mariana Montenegro,764475,1924
43856,"Alameda de Nogueira, 2
Conjunto Novo Dom Bosco
43105601 Garcia da Praia / GO",Bruno Fogaça,414040,1646
8193,"Fazenda Pimenta
Canadá
63795-962 Rezende de Goiás / AC",Cecilia da Paz,895822,1266
21447,"Condomínio de Araújo, 79
Santo Antônio
23140808 Mendonça / PR",Lavínia Cavalcanti,221818,2558
59956,"Recanto de Sampaio, 20
Pantanal
03030032 Ribeiro / AL",Gabriel Macedo,466343,4910
55447,"Alameda de da Rocha, 3
Vila Madre Gertrudes 2ª Seção
81286-233 Sá / AP",Nina Mendonça,62922,2651
29209,"Feira Monteiro, 47
Pantanal
62197-993 Souza / PE",Maria Sophia Dias,562269,4672
27497,"Rodovia de Porto, 131
Itatiaia
53415-351 Azevedo / PI",Maysa Moraes,901156,729
68398,"Residencial Sousa
Candelaria
55402-383 Pastor Alegre / RO",Dr. Dom Azevedo,170753,1871
58927,"Distrito Pacheco, 19
Vila Fumec
73839945 Sousa do Amparo / ES",Eloah da Mata,715680,2884
14237,"Morro de Caldeira, 6
Caetano Furquim
94297-125 Pacheco de Caldeira / PR",Lucas Gabriel Leão,215550,3584
73308,"Sítio Castro, 94
Minas Caixa
71378969 Cavalcanti / BA",Clara Castro,139500,711
30708,"Trecho de Pimenta
Vila Real 1ª Seção
89672-677 Correia de Brito / RJ",Lara Martins,410851,1199
66352,"Viela Natália Andrade, 96
Vila Independencia 1ª Seção
82367-342 Sá / ES",Isabela Vargas,532485,4527
17857,"Avenida de Casa Grande, 91
Saudade
18890752 da Costa / MS",Aurora da Cunha,158336,4115
96626,"Alameda de Pastor, 50
Nova America
22685-701 Pastor / RS",Olívia Montenegro,451683,1228
20556,"Colônia Cirino
Serrano
06739-154 Jesus de Dias / MS",Bruno Sá,120232,3645
57721,"Ladeira Fernandes
Estoril
05329101 Sampaio / RO",Ana Julia Souza,369854,2407
74531,"Esplanada Gomes
Vila Boa Vista
44493-728 Macedo do Oeste / SP",Sr. Antônio Gomes,437220,3495
10224,"Vila Bryan Pinto, 62
Pousada Santo Antonio
47717-728 Peixoto do Sul / TO",Breno Sampaio,283175,2690
43157,"Sítio da Luz, 42
Mariano De Abreu
06555414 Costa do Amparo / CE",Ravi Lucca Machado,333124,2012
44338,"Largo de Moreira, 4
Novo Tupi
28699-805 Nunes Paulista / ES",Enzo Nogueira,792510,689
24357,"Estrada Marcos Vinicius Azevedo, 99
São Cristóvão
93226861 Oliveira de da Cruz / SE",Sofia Sales,922236,4076
56118,"Esplanada de Marques, 53
Barroca
46975-168 Oliveira de Minas / AP",Rafaela Vieira,247869,2731
68463,"Núcleo Anthony Brito, 2
Universo
70368767 Rocha Grande / RS",Camila da Mata,602166,1115
35374,"Alameda de Teixeira, 689
Urca
93541-708 Rezende / MA",Daniela Ramos,468716,3315
4320,"Feira de Caldeira, 861
Sport Club
53867807 Oliveira / RS",Ana Laura Rios,347220,520
5093,"Lagoa Viana, 27
Itapoa
16667-891 Cirino das Flores / RO",Isabella Almeida,396360,2403
23447,"Recanto de Peixoto, 56
Suzana
35663-636 Machado / AC",Luna Costela,434199,2718
80509,"Favela Ana Júlia Camargo, 58
Santa Maria
14701-271 Sá de Ramos / AM",Dr. Mathias Cardoso,851845,4049
51759,"Loteamento Felipe Leão, 9
Coqueiros
81409435 Fonseca / AM",Ana Julia Fernandes,347803,1871
34712,"Ladeira Maria Luísa da Cunha, 53
Vila Pilar
37016-007 da Paz / BA",Bruno da Rocha,754592,654
92497,"Praia Leandro Marques, 648
Lagoa
72601406 Duarte / AM",Davi Miguel Moura,669124,3335
74479,"Núcleo Ramos, 9
Das Industrias I
04797-381 Nogueira / RR",Erick Pires,495802,990
92420,"Parque Andrade, 6
Alto Barroca
59215444 da Mota das Flores / RN",Ana Lívia Araújo,76793,3935
40404,"Conjunto de Borges, 48
Nova Suíça
78105579 Lopes / PE",Sophie da Cruz,848382,4059
89778,"Estrada Rios, 1
Gutierrez
49588444 Campos da Mata / SC",Zoe Sá,729169,3904
11805,"Residencial Eduarda Pastor, 7
Vila Santa Rosa
96033430 Marques / TO",Vicente Barros,999663,4879
27039,"Aeroporto de Nascimento, 6
Graça
53268537 Vieira / GO",Bruna Martins,621723,2836
89310,"Estação Correia, 98
Vila Paquetá
55580412 Moreira / PE",Manuella Gonçalves,321873,1281
41973,"Quadra de Cavalcante, 968
Pilar
53590-653 Caldeira do Galho / AC",Maria Isis Sales,190298,1537
65806,"Avenida Caldeira, 87
Santa Branca
76565333 Jesus / RS",Ana Cecília Machado,773788,2680
190,"Favela da Mota, 86
Providencia
21306-223 Ramos de Goiás / CE",Fernando Cardoso,674122,3981
25821,"Favela Costela, 2
Maria Helena
11657-135 Martins / PR",Luiz Miguel Montenegro,671480,938
237,"Área Freitas, 606
Varzea Da Palma
20485-173 Pinto / RS",Ana Pacheco,813987,3086
99662,"Viaduto Leandro Marques, 56
Indaiá
82159-549 Garcia / MT",Maria Helena Ribeiro,915872,3005
10671,"Trevo de Leão, 55
Vila Engenho Nogueira
48243792 Silveira / MT",Matheus Sales,447759,3736
35533,"Vereda de Siqueira
São Francisco
69716796 Vargas / AC",Ana Lívia da Luz,908112,1129
88093,"Trevo de Gomes
Cabana Do Pai Tomás
15172809 da Cruz / MS",Maria Liz Ferreira,950467,2348
44488,"Parque de Nascimento, 34
Estrela
80157-827 Mendonça / SP",Caleb Abreu,697753,4759
56057,"Setor de Cardoso, 37
Vila Santa Monica 2ª Seção
78943-309 Rodrigues do Sul / AC",Srta. Cecília Peixoto,482644,2927
99749,"Lagoa de da Conceição, 292
Vila Madre Gertrudes 3ª Seção
64409-001 Rezende de Fonseca / TO",Vitor Gabriel Cardoso,124823,653
22927,"Passarela Câmara, 94
Eymard
84669416 Rodrigues de Albuquerque / PI",Liam Vargas,655026,4006
936,"Lago Cauã da Cruz
São Francisco Das Chagas
22793024 Garcia / AP",Maria Vitória Novaes,973012,695
31225,"Jardim Mendes, 3
Oeste
06256-691 Vasconcelos do Sul / TO",Rafaela Aragão,497297,4113
82006,"Condomínio de Moreira, 38
Glória
22592416 Marques / AM",Ravy da Conceição,649504,902
6550,"Vereda Araújo, 577
Bandeirantes
10667969 Moreira das Pedras / RN",Josué Peixoto,352159,1148
86227,"Lagoa Andrade, 86
Vila Antena
13481-036 Castro / SP",Zoe Vargas,185136,2938
77751,"Praça Luiz Miguel Vieira, 15
Universitário
55213517 Oliveira / SC",Ágatha Casa Grande,826890,2986
96926,"Colônia Correia, 100
Luxemburgo
49467-500 Sá de Ferreira / PE",Sr. Cauê Silveira,806588,3226
92576,"Setor da Cunha, 846
Mangabeiras
78423729 Vargas / AL",Maitê Rios,927761,3111
50828,"Esplanada Evelyn Costela, 55
Marmiteiros
52442258 Silveira / PA",Alana Costela,240155,3114
46470,"Parque Gustavo Henrique Sampaio, 10
Vila Batik
56522-483 Cunha / BA",Sra. Sarah Andrade,104133,1654
12526,"Vale de Vieira, 28
Vila União
32766-341 Marques / RN",Ana Luiza da Mota,948269,2807
56053,"Trevo Henry Gabriel Camargo, 88
Alta Tensão 1ª Seção
75962884 Barbosa dos Dourados / RN",Dra. Clara Teixeira,53338,874
8882,"Chácara de Moura, 91
Camargos
86901-279 Barbosa de Goiás / SC",Cecília Farias,890295,722
46075,"Vale da Mata, 3
Nova Granada
07307-381 Almeida / AP",Marcos Vinicius Guerra,232651,3422
36187,"Favela Calebe Gonçalves
Graça
73251-014 Costela / AP",Dra. Ísis Aragão,54395,3959
76529,"Conjunto Arthur Gabriel Pimenta, 10
Silveira
77439187 Macedo do Galho / PR",Caleb Aparecida,588566,1733
83050,"Pátio Sales, 9
Tupi A
40462144 Rodrigues do Campo / PB",Valentina Gomes,998897,4093
8688,"Ladeira de Barbosa, 52
Carlos Prates
13901095 Montenegro / BA",Emilly Machado,501212,1986
90602,"Parque de Garcia, 2
Monte São José
32274-862 da Rosa de Freitas / TO",Vitor Gabriel Jesus,455585,2660
5383,"Vereda Nathan Moura, 31
Itaipu
57215823 Caldeira / AM",Leandro Costela,473361,1099
61054,"Lago Sara Ribeiro, 24
Novo Santa Cecilia
92746-081 Aragão da Praia / MA",Yan Caldeira,598693,2264
73167,"Rua Benício Pimenta, 510
Esperança
54718-991 Montenegro do Galho / CE",Sra. Clara Sales,235551,4594
15130,"Praça de das Neves, 64
Itapoa
48453-523 Silveira da Serra / PB",Stephany Mendes,388486,3619
8735,"Colônia Freitas, 88
Xodo-Marize
00210-493 Ramos de Viana / AL",Maria Fernanda Ribeiro,736371,4815
12493,"Fazenda Maria Helena Garcia, 81
Vila Jardim Leblon
22045-945 Moura / PR",Lavínia Teixeira,240825,2176
15404,"Parque Pimenta, 750
Parque São José
72450-364 Cavalcanti de Caldeira / RN",Luiz Otávio Lopes,604052,2120
33677,"Via Souza, 66
Goiania
81646-219 Fonseca / AM",Esther Alves,588867,2109
4205,"Favela de Fonseca, 42
Vila Antena Montanhês
53941-321 Mendonça de Jesus / RJ",Bella da Paz,722931,839
52207,"Trecho Maria Clara Siqueira, 952
Prado
91486-489 Cunha Paulista / MT",Miguel Fogaça,68787,3062
55766,"Loteamento Lorena da Costa
Conjunto Serra Verde
77176270 da Rocha Paulista / RN",Cecília Vieira,781146,2574
74331,"Loteamento Pietra Moraes, 7
Vila São Rafael
32885-497 Alves de Albuquerque / MG",Theo Cunha,422993,2146
97405,"Parque de Gomes
Conjunto Jatoba
35056670 Machado / AP",Thomas Pereira,367534,4277
48319,"Favela Luiz Gustavo Rezende, 6
Santa Monica
84606-024 Pires Alegre / RO",Ana Sophia Gonçalves,134613,3255
44534,"Campo Porto, 78
Araguaia
28397364 Rodrigues da Prata / AP",Lucas Gabriel Cirino,352919,2551
78514,"Viaduto de Fogaça
Solimoes
50869-941 Santos / RN",Melina Pinto,702430,652
81690,"Colônia Montenegro, 16
Manacas
48411616 Pinto / PB",Carlos Eduardo da Cunha,601900,2073
26408,"Favela da Conceição, 864
Novo Tupi
08637-505 Pimenta / MS",Elisa Cunha,686024,3156
71891,"Setor de Almeida, 161
Jardim Dos Comerciarios
72942-875 Brito / SE",Sr. Luiz Felipe Pinto,941818,4118
80303,"Avenida Cauã Farias
Vila Oeste
94433918 Fonseca / AC",Henry Gabriel Sá,935720,4392
92933,"Viaduto Luiz Fernando Viana, 187
Vila Antena
12660-975 Dias / MT",Ágatha Montenegro,306973,2904
97702,"Quadra de Cardoso, 503
Conjunto Jatoba
68307-216 Farias de Moreira / SP",Ana Júlia Duarte,93285,4578
97261,"Jardim Hadassa Marques
Distrito Industrial Do Jatoba
44689814 Carvalho / DF",Mirella Melo,697618,3318
19440,"Pátio da Luz, 8
Ernesto Nascimento
80015-958 Vieira / RR",Sr. Enrico Nascimento,183270,2823
58749,"Avenida Gustavo Henrique Ferreira, 66
Santa Branca
22959-672 Nunes do Amparo / PA",Murilo Moura,575419,2469
52026,"Fazenda Silveira, 415
Morro Dos Macacos
21807128 Mendes do Norte / CE",Mateus Sales,478844,2654
68619,"Chácara Isaque Costela, 91
Serra
76810-675 Ferreira / RJ",Yan Campos,628889,3853
58453,"Viela Maria Rios, 60
Jardim América
58637211 Nunes da Praia / CE",Luiz Henrique Cardoso,897808,4898
13415,"Lago João Felipe Sá, 2
São João Batista
60066-023 Azevedo da Mata / PI",Antony Marques,924118,2890
80191,"Condomínio Moraes
Vila Madre Gertrudes 4ª Seção
45924-215 Aparecida da Praia / AC",Bella Vieira,101683,862
73711,"Conjunto Novaes, 629
Vila Trinta E Um De Março
22739145 Teixeira / PE",Lara Aragão,86420,517
42909,"Passarela Nina Macedo, 87
Floramar
46958-159 Dias / MG",Srta. Maria Vitória Cirino,922816,1547
92618,"Colônia de da Mota, 7
São Lucas
50380899 Montenegro do Galho / TO",Cecília Freitas,761013,1369
78232,"Viaduto Porto
Vitoria
17609868 Cavalcante do Norte / CE",Dra. Maitê Vargas,206493,1793
85846,"Aeroporto Lucas Gabriel Leão, 49
Parque São Pedro
04792-625 Rocha / RS",Maria Sá,111388,4716
35397,"Fazenda Pastor, 32
Olaria
93848260 Lopes das Flores / RJ",Ísis Novais,789328,2309
8722,"Praça de Cavalcante, 59
Marieta 3ª Seção
07147-810 Rezende / AL",Elisa Pastor,639617,4611
55714,"Aeroporto Davi da Cunha, 200
Vila Trinta E Um De Março
72740894 Abreu / CE",Yan Campos,851962,744
18587,"Vale Pedro Lucas da Rocha, 96
Santana Do Cafezal
95018468 Pereira de Rodrigues / MS",Rhavi Marques,389501,3070
93860,"Estação Sales, 53
Leticia
32027-690 Teixeira Alegre / SC",Maria Júlia Ferreira,967128,1236
62664,"Condomínio Castro, 81
Ambrosina
51431-290 Sampaio / AP",Cecília Casa Grande,778465,3474
56169,"Área Leonardo da Conceição, 69
Vila Vista Alegre
87915754 Moraes / GO",Gabrielly Pinto,432143,4588
79607,"Avenida de Barbosa, 77
Madri
17472-457 Rios / MT",Davi Miguel Duarte,607500,2045
61794,"Núcleo Dias, 45
Vila Santa Rosa
92124-801 Gomes Grande / GO",Gabriel Andrade,880814,2811
32118,"Praça Rael Costa, 596
Vila Esplanada
45080-635 das Neves / RO",Lara Pimenta,408848,638
96603,"Recanto Fernandes, 1
Solimoes
14513480 Campos / PI",Eduarda Fernandes,268665,566
71468,"Ladeira de Barbosa, 53
Vila Nova Cachoeirinha 1ª Seção
15128-060 Farias / PR",Esther Araújo,307244,4210
46429,"Chácara Manuella Cavalcante, 285
Nossa Senhora Da Aparecida
94577723 Cunha das Flores / MS",Dr. João Felipe Porto,161327,1415
45881,"Fazenda da Paz, 4
Nova Granada
22326358 Duarte / TO",Anthony Nunes,550413,3576
92175,"Colônia Dom Casa Grande, 63
Vila Da Paz
92591-329 Dias de Costela / AP",Heloisa Caldeira,974512,3085
59535,"Rodovia de Almeida, 47
Vila Boa Vista
01173969 Câmara dos Dourados / AP",Maria Sophia Gomes,267867,1475
41905,"Loteamento de Caldeira, 41
Vila São Gabriel Jacui
32685-267 da Mata do Amparo / PE",Enzo Gabriel Macedo,760951,4849
38107,"Vila Anna Liz Machado, 74
Minas Caixa
25488-072 Castro / MG",Mariah Abreu,876005,4133
63465,"Estação de Cardoso, 60
Chácara Leonina
06953-628 Nunes da Mata / SP",Laura Dias,825846,1957
12801,"Estrada Emanuella Peixoto, 25
Vila Atila De Paiva
67011-469 Fogaça / AC",Yuri da Cruz,297023,3424
95823,"Passarela Farias, 80
Vila Puc
19122032 Monteiro / SE",Marcelo Freitas,324623,1946
17174,"Morro Ana Liz Sales, 1
Vila Da Amizade
37249-688 Cavalcanti / MT",André Andrade,329392,1463
53005,"Via Laís Vasconcelos, 97
Gutierrez
73103-061 Nogueira / PE",Fernando Dias,877511,1417
63291,"Lagoa de Rios, 648
Planalto
32347-855 Cavalcanti / PE",Letícia Lima,405169,3370
87445,"Conjunto da Mata
Anchieta
01924-935 Caldeira da Mata / AC",Marcela Camargo,399494,3698
99772,"Pátio Guerra, 4
Conjunto Bonsucesso
42288563 da Cunha / MT",Emilly Sá,536678,2021
42578,"Lagoa de Fogaça, 43
Bom Jesus
59778257 Gonçalves de Minas / SP",Pedro Lucas Carvalho,980842,4503
76442,"Área de Correia, 92
Granja Werneck
44415011 Barbosa / AM",Maria Flor Pimenta,644416,2430
70233,"Vila de Carvalho, 57
Vista Alegre
95905046 Macedo do Norte / RS",Maria Júlia Azevedo,965455,4373
65084,"Pátio de Moura
Zilah Sposito
45821-539 Barbosa de Goiás / DF",Emanuelly Oliveira,545915,4423
27189,"Vale Maria Luiza Martins, 91
Boa União 2ª Seção
92260242 Cirino de Ferreira / ES",Levi da Cruz,170225,2897
76923,"Setor Rezende, 51
Silveira
35446228 Marques Paulista / GO",Ana Sophia Teixeira,804688,3930
19944,"Jardim Correia, 75
Vila Real 2ª Seção
76551-093 Vieira de Minas / CE",Caleb Rios,580579,2439
73592,"Vila Pires, 20
Conjunto Paulo Vi
91180703 Silveira / GO",Maria Helena Correia,615413,4000
20358,"Alameda de da Rocha, 9
Cdi Jatoba
40693-597 Lima do Amparo / MT",Alexia Brito,804204,2070
9793,"Viela de da Costa, 73
Mariano De Abreu
01777-204 Ferreira / RR",Theodoro Duarte,274656,4223
81034,"Colônia de da Conceição, 64
Pantanal
25692-469 Rios / RS",Joana Teixeira,751256,1044
98162,"Vale de Pimenta
Zilah Sposito
40061364 Barbosa / PR",Ana Albuquerque,603279,4899
21021,"Ladeira Costa, 49
Santa Margarida
93031951 Caldeira de Ribeiro / MA",Nathan da Cunha,966058,2750
98467,"Lagoa Caldeira, 37
Monte São José
95708-552 Araújo dos Dourados / RJ",Dr. Pedro Miguel Pimenta,956241,1261
30201,"Avenida Barros, 98
Vila Bandeirantes
53819-637 Pacheco do Amparo / PR",Ana Luiza Aparecida,241852,3623
20734,"Pátio Isis Moreira, 40
Vila Fumec
33472562 das Neves de Minas / BA",Nina Barbosa,288695,964
6648,"Parque Martins, 106
Novo Tupi
62696259 Cunha / GO",Sra. Luiza Sales,217406,2438
47099,"Viaduto João Lucas das Neves, 7
Liberdade
26209-859 Guerra / RS",Milena Rios,776113,4654
97039,"Campo da Mota
Pindura Saia
47907-676 Lopes / TO",Jade Dias,494290,552
31469,"Núcleo Larissa Araújo, 503
Glória
34039251 da Conceição / PB",Cecília Cirino,718412,4995
62158,"Núcleo Novaes
Maria Goretti
60822-113 Mendes do Oeste / AP",Miguel Fogaça,530523,1848
46050,"Residencial Azevedo
Conjunto Lagoa
09712-162 Carvalho das Flores / DF",Guilherme Lima,787953,575
35278,"Aeroporto Manuela Sampaio, 35
Mariquinhas
86250-083 Barros / PB",Dra. Mariane Cirino,557548,1859
7054,"Área de Melo, 83
Colégio Batista
64537-757 Alves do Norte / SE",Mirella Ribeiro,186145,3915
91828,"Ladeira de Moraes, 76
Belmonte
61568065 Siqueira / DF",Maria Fernanda da Mota,338622,1177
3951,"Favela João Felipe Cavalcanti, 436
Vila Nossa Senhora Do Rosário
24172319 Pires do Campo / TO",Maria Vitória da Mota,864836,708
95463,"Núcleo Caio Marques, 25
Vila Calafate
38777666 Caldeira / PR",Isabella Cavalcanti,911025,3442
58307,"Esplanada João Pedro Sampaio, 50
Sion
78328684 Campos das Pedras / SC",Clara Pacheco,890512,2477
77484,"Lagoa Rebeca Silveira, 9
Boa Viagem
16228-514 Ramos / RR",Enzo Campos,71444,1766
3002,"Campo de Fonseca, 13
São Paulo
95452073 Ramos do Galho / AL",Gael Fonseca,793318,2661
65878,"Favela Kevin Gomes, 7
Jardinópolis
24735-180 Cirino / PR",Raul Vargas,717019,1862
68373,"Distrito Abreu, 36
Boa Viagem
00128-287 da Rocha do Galho / AL",Josué Ribeiro,189034,3856
14026,"Alameda Novaes
Jardim São José
74390-739 Leão dos Dourados / MA",Lucas da Luz,358604,4141
83180,"Rua Lima, 60
Boa Vista
86006-701 Martins de Costela / AC",Luiz Henrique das Neves,374368,1081
46516,"Conjunto Bernardo da Conceição, 29
Vila Madre Gertrudes 4ª Seção
89197-073 Ferreira / AM",Maria Luiza Câmara,644676,2933
24819,"Fazenda da Mota, 11
Conjunto Paulo Vi
60642-989 Caldeira / CE",Sr. Luiz Gustavo Azevedo,183459,753
93769,"Condomínio Viana, 781
Jardim Do Vale
09504135 Garcia / PE",Heloísa Monteiro,768776,3912
70175,"Estação de Barros, 92
Novo Glória
51480-503 Carvalho de Martins / SP",Emanuelly Vieira,483294,805
12446,"Largo Davi Lucca Leão, 457
Pirineus
14656886 da Rocha dos Dourados / PB",José Macedo,775738,4114
2448,"Pátio Costela, 66
Funcionários
30950919 Novaes / RR",Ana Sophia Aparecida,868075,3750
59606,"Viela Duarte, 86
Alta Tensão 2ª Seção
88731-074 Dias / SC",Dr. Benício da Cruz,450621,3168
52986,"Núcleo de Sá, 904
Cidade Jardim Taquaril
32471101 Nascimento do Galho / PI",Benjamim Cirino,222212,4302
42233,"Vale Theodoro Sampaio, 508
Venda Nova
41110-542 Pimenta de Cavalcante / PR",Antony Rios,715770,4725
36909,"Colônia Davi Luiz Pires, 7
Conjunto Serra Verde
58300-252 Gomes de Gomes / RJ",Arthur Miguel Silveira,541525,4905
24482,"Trecho de Andrade
Petropolis
39826-549 Gonçalves / RS",Sra. Amanda Sá,618226,4170
12237,"Estrada Sales, 79
Conjunto Jatoba
42646703 Sampaio / RR",Antonella Freitas,140237,3620
13468,"Largo Joana Vargas, 2
Belvedere
00201-692 Teixeira / BA",Ana Santos,90265,4171
89974,"Jardim de Pires
Vila Ouro Minas
49692-160 Marques do Oeste / MG",Dr. Pedro Porto,699014,3477
13947,"Núcleo de Costela, 77
Vila Nova Dos Milionarios
46332858 Almeida do Sul / RS",Gael Henrique Cavalcanti,989549,1046
1298,"Praia Leão, 93
Vila Paquetá
48598-009 da Mata / PE",Luiza Leão,981182,2471
16537,"Quadra Gabriel Moraes, 34
Santo Antônio
03405-722 Barbosa Verde / SE",Stella Câmara,91505,1768
98241,"Pátio de Guerra, 28
Bairro Das Indústrias Ii
20508-480 da Cruz / PA",Kevin Cardoso,951218,3010
68912,"Praia Souza, 3
Corumbiara
50493721 Borges / RJ",Ana Carolina Sampaio,99257,951
12593,"Chácara Leão, 96
Monte Azul
18004-029 Pereira / RN",Vitória Farias,155650,1134
20463,"Rua de Correia, 18
Cinquentenário
41983-730 Aragão / AL",Srta. Ana Laura Melo,748668,2594
29138,"Jardim Isadora Silva, 773
Campo Alegre
20557-866 Duarte Paulista / DF",Vicente Melo,992072,2365
24831,"Distrito Antony da Cunha, 41
Conjunto Jardim Filadélfia
78965-273 Almeida de Goiás / BA",Luiz Gustavo Freitas,849820,2420
31380,"Praça Davi Lucca Cavalcanti, 130
Centro
76504844 Cassiano do Galho / RJ",Ester Gonçalves,555745,3816
43918,"Via de Freitas, 5
Serra Verde
07528410 da Cunha da Mata / PB",Mirella Cassiano,285629,4909
3589,"Vila Machado, 27
Jardim Vitoria
18511-156 Pinto do Campo / PI",Sr. Rodrigo Cunha,176107,2272
48392,"Viela de Pimenta, 54
Pongelupe
82673-112 Siqueira / RR",Sabrina Machado,288285,2355
9164,"Chácara Antony Montenegro, 8
Vila Nova Gameleira 3ª Seção
11079464 Almeida de Fonseca / PR",Pedro Lucas Aparecida,842741,1027
7556,"Aeroporto Catarina Albuquerque, 70
Vila União
13991-880 Siqueira Verde / MS",Heitor Mendonça,818586,1436
58101,"Loteamento de da Paz, 87
Nova Granada
06063424 Lima / PB",Maria Liz Leão,453099,4715
65943,"Residencial Mateus Cardoso, 88
Unidas
71124-747 Brito / DF",Isabel Farias,50075,830
2602,"Campo Albuquerque, 47
Vila Coqueiral
92651599 Sampaio de Fernandes / SE",Agatha da Mota,463624,3589
25188,"Feira Sarah Castro, 47
Mineirão
02501537 Nogueira / DF",Leandro Farias,297211,3032
12983,"Trevo Câmara
Ipe
85606826 Novais / PR",Ana Julia Pereira,471695,4460
2071,"Favela Luan Vieira, 54
Comiteco
23141-290 Sousa / RO",Srta. Rafaela Teixeira,389827,1217
61515,"Recanto Porto, 77
Capitão Eduardo
54472987 da Rosa / PI",Fernando Montenegro,585050,1730
47618,"Morro de Sales, 756
Santa Terezinha
45949-959 Câmara / RJ",Nicole Rocha,543571,2643
