idpessoas,nome,cpf,data_nascimento,endereco,telefone,sexo
90088,Valentim Sá,105.263.478-80,1945-09-12,"Travessa Albuquerque, 261",51 6124 6713,F
77999,Maysa Jesus,098.741.236-13,1991-06-18,"Lagoa Luiz Miguel Ferreira, 4",(021) 4177 3722,F
16577,Emanuelly Câmara,534.768.219-19,1952-12-02,"Residencial Alexia da Luz, 70",0900-954-3620,F
13825,Henrique Rios,581.793.604-66,1994-02-24,"Setor Cunha, 958",+55 81 4913-0295,M
81897,Giovanna da Paz,708.536.429-74,1972-07-04,Favela de Vargas,+55 11 0022 3975,M
78683,Lucas Campos,294.576.381-82,2011-02-06,"Esplanada Brito, 718",0800-805-8855,F
24804,Samuel da Costa,932.478.065-47,1996-11-02,"Pátio de Monteiro, 44",81 6658 2788,M
788,Cauê Fogaça,562.019.387-02,1929-11-27,"Estrada de Jesus, 58",+55 11 1931 7074,M
7200,Emanuella da Rocha,436.297.508-00,1917-12-18,Conjunto de Sales,+55 (081) 4514 4522,F
29082,Giovanna Silva,380.921.674-78,1983-06-06,"Viela de Castro, 1",+55 (011) 7238 6768,M
33716,Pedro Henrique Sousa,503.248.167-07,1982-10-02,"Vila Pereira, 5",81 0929-0697,M
81937,Enzo Gabriel Albuquerque,173.458.692-37,1986-03-04,"Avenida de Mendonça, 457",(061) 4239 5218,M
72709,Rael Vargas,769.805.413-66,1966-03-05,"Estrada Josué Camargo, 735",+55 (031) 8748 4387,M
65086,Ana Liz Mendes,379.162.485-73,1969-06-17,"Aeroporto Moreira, 59",+55 (084) 1659-2252,M
27726,Mariane Ferreira,786.049.352-74,1977-03-01,"Rodovia Dom Aragão, 29",+55 84 2266-7661,M
94634,Mariana Cassiano,094.658.317-00,1910-06-06,"Favela Catarina Rocha, 61",+55 (061) 6969-9654,M
15171,Arthur Miguel Siqueira,413.802.567-71,1928-03-16,"Esplanada Melo, 1",(031) 1300-8262,F
63906,Daniela Nascimento,897.056.413-66,1913-03-13,"Estrada Liam Barros, 6",+55 (061) 3870 1646,M
75744,Valentim Souza,270.145.386-08,1998-08-30,Distrito Mateus Cassiano,(051) 6564 8343,M
56031,Hellena Dias,643.981.270-03,1916-09-19,"Pátio Laura Castro, 845",+55 81 0942 5523,M
54859,Eloah Aragão,934.071.582-97,1967-03-14,"Aeroporto Mariana Siqueira, 28",84 7178 5952,F
89356,Arthur Melo,024.859.176-20,2008-07-25,"Largo Lorenzo Fernandes, 71",+55 61 7062-6993,F
65417,Carlos Eduardo Farias,470.381.629-69,1973-12-15,"Lagoa Lara Duarte, 71",(081) 3818-0439,M
58954,Amanda Barros,539.804.176-20,1929-11-12,"Trevo Leão, 21",+55 71 1809 1513,M
15049,Erick Sousa,923.574.860-74,1952-02-19,"Ladeira de Cavalcante, 14",(021) 3043-0826,M
14296,Joana Guerra,527.683.014-26,1926-12-05,"Morro Sophia Pereira, 81",(051) 6949 5970,F
77661,João Lucas Nogueira,701.329.465-99,1946-02-01,"Sítio Campos, 75",+55 (061) 6463 6766,F
83409,Miguel Freitas,698.021.534-51,1939-02-10,"Aeroporto Freitas, 3",0500 338 2077,F
5337,Dra. Maria Liz Farias,215.634.079-06,1924-04-23,"Esplanada Cassiano, 40",0900-789-9196,M
99140,Maya da Paz,190.564.827-85,1994-04-11,"Praça de Cavalcante, 36",+55 (081) 5059 7606,F
30710,João Guilherme Marques,539.716.240-06,1956-01-29,"Chácara Camargo, 613",0900 916 0725,F
97257,Maria Isis Siqueira,294.785.016-58,1912-10-13,"Rodovia de Mendes, 88",(021) 6175 3598,F
82221,Leonardo Nunes,324.518.960-51,1974-08-04,"Morro de Albuquerque, 91",+55 (061) 5742 5449,F
16624,Sr. Lucas Gabriel Siqueira,436.589.071-93,1912-06-21,"Vereda de Silva, 20",0500 547 8482,F
31689,Ísis Novaes,187.450.293-50,1981-09-24,"Praia Otto Caldeira, 17",+55 84 2600 7913,F
17165,Fernando Macedo,125.347.980-14,1910-02-28,"Passarela Sousa, 14",+55 71 9118-4324,M
81414,Isaac Correia,680.173.952-21,1970-01-17,"Viela Peixoto, 9",+55 (051) 8506-8035,M
769,Thomas Nascimento,058.736.419-00,2011-06-22,"Ladeira da Costa, 3",0900-785-9439,M
9380,Camila da Paz,431.098.752-41,1914-09-22,"Área Silva, 2",21 6492-4170,F
25486,Ana Clara Duarte,608.721.439-96,2020-10-13,"Fazenda de Campos, 71",71 9076-8205,M
21929,Sra. Elisa Ramos,368.725.190-02,1914-10-10,"Setor Esther Siqueira, 50",(071) 2846-7298,M
74165,Camila Machado,159.864.732-64,1992-12-30,"Vereda Luiz Henrique Mendonça, 72",0800 734 0264,M
65944,Eloah Guerra,894.716.253-19,2001-08-14,"Jardim de Pires, 32",0900 336 3870,M
86462,Liam Moura,956.780.214-94,2003-08-17,"Recanto Manuella Costela, 7",(061) 3126-1580,M
83928,Alexia Novaes,691.832.745-37,1981-09-14,Viaduto Ester Moura,81 2206 1839,M
78910,Apollo Sales,439.650.827-10,1941-09-09,"Estrada de Silveira, 59",+55 71 3790 6520,F
16657,Manuela da Paz,589.713.602-59,1989-03-08,"Colônia de Macedo, 6",+55 84 3000 6866,F
7588,Pedro Miguel Farias,846.091.372-40,1961-02-06,"Vale de da Conceição, 26",+55 41 1058 0489,M
67986,Sr. Francisco Lima,970.832.654-29,2002-02-28,"Esplanada de Fonseca, 63",21 0666 6612,M
1493,Bryan Azevedo,364.875.210-35,1986-12-22,"Praça Ramos, 7",+55 84 9686-0637,F
42755,Ana Cecília Lima,165.837.240-90,1997-09-09,"Colônia de da Mota, 53",+55 31 7237 6189,F
82270,Leandro Cavalcanti,127.893.056-68,1992-11-27,"Morro de Santos, 88",(051) 7025 7210,F
13564,Sr. Ravi Jesus,276.089.354-56,1934-05-19,"Área de da Conceição, 782",+55 (061) 6165-5287,F
42572,Josué Caldeira,709.423.618-22,1938-10-20,"Parque Almeida, 18",+55 (041) 5203-8115,F
46106,Srta. Ágatha Abreu,829.071.436-03,1974-11-08,"Conjunto Araújo, 68",(041) 6342-9818,F
87794,Sarah Pinto,389.701.245-60,1955-09-18,Quadra Davi Miguel Macedo,+55 84 5241 2160,M
57606,Murilo Gomes,107.296.538-03,1942-05-17,"Largo Bruna Caldeira, 11",81 5426 2495,M
97358,Srta. Isis Barbosa,965.278.104-58,1940-12-27,"Área Cirino, 455",+55 (021) 3118-4060,M
68293,Maria Liz Barbosa,218.037.956-03,1982-07-09,"Colônia de Montenegro, 7",0800 352 5796,M
98512,Dr. Vicente Montenegro,731.985.204-79,1913-05-02,"Rua Sousa, 28",81 6776 1244,M
38515,João Aragão,961.543.780-84,1974-04-22,"Praça de Cassiano, 16",84 6371-6277,F
81584,Marina Castro,861.524.937-73,2000-05-24,"Viaduto Siqueira, 582",(081) 8791-9041,F
86665,Milena Albuquerque,260.951.437-99,1949-08-20,"Colônia Peixoto, 54",81 7003 1758,M
69942,Alexandre da Mata,920.768.351-21,1951-06-16,"Esplanada de Costa, 1",+55 (084) 9908 5033,F
22726,Antonella Carvalho,981.570.236-02,1958-09-08,"Fazenda de Pimenta, 326",(061) 5234-3450,M
18888,Diogo Macedo,730.651.829-12,1909-05-25,"Favela de Gonçalves, 416",+55 81 9826 5887,M
97630,Dr. Bento Abreu,105.873.629-95,2023-05-27,"Residencial Freitas, 39",+55 41 8779 6358,F
92478,Antony Novaes,405.923.871-60,1936-11-14,"Lagoa Fonseca, 770",+55 11 5966 6706,M
69796,Eloá Sampaio,210.378.546-08,1966-03-26,"Esplanada Pedro Lucas Teixeira, 60",11 4136 3708,M
58553,Gabriela Moraes,034.127.985-41,1990-07-03,"Lagoa Araújo, 807",(031) 7685 2423,F
96783,Caleb da Costa,379.861.254-46,2000-09-19,"Sítio Barbosa, 40",+55 71 0394-1421,M
60908,Maria Ferreira,046.857.932-00,1988-07-03,"Aeroporto Pietro Rodrigues, 126",+55 (011) 1360-7204,M
6964,Dr. Dom Sales,874.923.165-00,1921-04-29,"Parque Leão, 133",0800 428 0335,F
19880,Mariane Borges,935.084.621-70,1998-06-10,"Conjunto Ana Beatriz Cirino, 58",+55 (051) 8086 3741,F
71778,Clarice Siqueira,193.542.806-33,1935-06-08,"Colônia de da Cruz, 8",41 8442 0533,M
93720,Luna da Costa,521.384.670-07,2021-02-06,"Rodovia Jesus, 4",+55 81 2943 6028,F
90577,Thiago Leão,965.073.481-39,1961-06-25,"Ladeira de Alves, 22",21 7257 2492,F
68174,Ian Barbosa,621.837.590-03,1983-04-16,"Campo Moura, 83",+55 51 7501 9643,F
48554,Dra. Natália Ribeiro,432.159.768-46,1955-01-12,"Lagoa Aparecida, 934",(051) 0909-4126,F
53952,Ana Luiza da Mata,248.975.631-19,1985-05-21,"Passarela da Mota, 732",(071) 6354-2847,F
63114,Sofia Moreira,169.483.205-89,1914-02-18,"Chácara Sara Rezende, 321",+55 61 3530-7433,F
41220,Nina Caldeira,716.892.405-20,1929-05-29,"Trevo de da Cruz, 32",(084) 6924 5576,M
23202,Vicente Duarte,768.495.312-55,1993-06-12,"Chácara Pastor, 48",+55 31 3508 8404,M
52459,Sra. Nina Ramos,178.965.402-58,1963-09-25,"Viela de Andrade, 42",+55 (051) 7679-3361,F
71512,Lara Siqueira,431.982.067-31,1989-07-24,"Lagoa de Duarte, 59",(071) 1452-0122,F
26957,Bruno Melo,431.702.598-14,2015-06-22,"Praia de Macedo, 41",(041) 5888-2426,M
85194,Dra. Ana Carolina Almeida,043.759.816-01,2004-01-03,"Vale Cunha, 69",21 3630 8522,M
58485,Fernando Vasconcelos,534.820.761-62,1928-01-17,"Vale Ian Camargo, 38",+55 51 4064 9764,F
28233,Dr. Cauê Ferreira,975.340.186-84,1990-05-11,"Jardim de Lima, 25",(021) 9517-3467,F
89321,Sr. Nicolas Dias,752.801.349-88,1959-09-29,"Rodovia de Peixoto, 56",+55 (021) 1075-6063,F
49765,Sr. Heitor Borges,721.453.869-55,1959-06-14,"Favela Fogaça, 38",(061) 2584 8098,F
1462,Henry Casa Grande,319.450.278-60,1941-09-05,Travessa Ana Liz Viana,+55 84 8969 6760,M
67609,Dr. Asafe Ferreira,483.609.572-74,2009-04-06,"Trecho Gabriela Pinto, 28",+55 (081) 3768 8891,F
1604,Isabela Fogaça,125.306.479-25,1962-04-17,"Trevo Valentim Nascimento, 18",(041) 0839 7148,F
23695,Brenda Farias,159.304.682-06,1922-05-26,Viela Casa Grande,+55 31 6418 6927,M
26378,Dr. Joaquim Vieira,358.209.174-05,1996-11-02,Campo Henrique Macedo,+55 (041) 7704 0415,F
42619,Maysa Pinto,368.241.705-26,2020-01-29,"Travessa Silveira, 292",84 5494 9039,F
50027,João Oliveira,590.683.214-98,1930-04-12,Pátio de da Paz,+55 41 5460 0816,F
18821,Anthony Pinto,805.437.162-44,1956-07-06,"Viela Maria Liz Moreira, 463",+55 (051) 1767-8701,M
74896,Rafael Rezende,317.549.860-48,1939-01-14,"Condomínio Nascimento, 41",(061) 8908-2752,M
58181,Ian Alves,536.074.812-53,1979-04-30,Passarela Porto,+55 (084) 0446-1548,F
59131,Agatha Lima,238.941.706-03,1951-11-06,"Estação Sophie Pinto, 83",+55 (011) 9494 8590,F
56100,Ravy Alves,190.723.568-02,2005-02-04,"Setor Henrique Fernandes, 36",+55 (071) 7061-8211,M
14593,Rebeca da Mota,716.985.042-76,1962-08-09,"Morro Gabriel Duarte, 14",61 7923 7493,M
81240,Dr. Arthur Miguel Farias,465.027.389-74,1926-04-07,Avenida de Silva,+55 31 6012-7036,F
6509,José Pires,089.163.542-42,1964-09-05,"Recanto de Nascimento, 60",0500 549 6310,F
39552,Valentim Viana,823.519.746-46,1966-07-18,"Rodovia de Porto, 6",(081) 9480 2117,M
44302,José Miguel Carvalho,071.985.324-97,1994-07-25,"Alameda Cardoso, 45",+55 (031) 6591-3111,M
89265,Sra. Alexia Cavalcante,285.730.491-97,1987-07-16,"Setor Dante Oliveira, 180",+55 84 8094 4091,F
96117,Ana Freitas,592.781.306-21,1926-07-24,"Fazenda Silva, 4",31 3009-9697,M
30577,Samuel Abreu,419.532.076-34,1979-02-24,"Residencial de Porto, 2",+55 (051) 7758 9348,M
49483,Maria Julia Duarte,152.864.037-35,1928-05-04,"Parque da Paz, 754",+55 (061) 4673 4271,M
35194,Luísa Albuquerque,749.683.021-69,1909-08-12,"Trecho Rhavi Rios, 8",+55 (061) 8245-4560,F
19994,Caleb Pinto,069.154.378-00,1911-03-17,Estação de da Cunha,+55 11 5572-0986,F
73880,Sra. Bella Garcia,623.094.518-51,1992-07-13,Parque de Pereira,(071) 3879-5550,F
94827,José Pedro da Costa,168.750.249-85,1963-01-11,"Parque Camila Borges, 7",51 9145 5461,M
60181,Evelyn Andrade,625.173.049-80,1976-05-22,"Vale José Pedro Jesus, 891",(021) 9678-2611,F
81856,Dra. Aylla Pires,514.289.607-67,2013-05-26,"Condomínio Lívia Sampaio, 26",+55 81 4034 5987,F
70475,Ayla Borges,241.978.350-60,2023-01-16,"Colônia Leão, 82",+55 (031) 7701 2540,F
20316,Sophia da Mata,876.502.913-59,1986-09-08,"Distrito Rezende, 6",0500-196-6512,F
56263,Ravi Novaes,102.495.376-99,1964-01-18,"Residencial de Peixoto, 347",+55 31 5570 5828,F
76405,Ana Vitória Rios,612.584.073-53,1958-06-21,"Rua Lorenzo Cavalcanti, 97",+55 61 5700-6202,F
83628,Nicole Vargas,857.104.936-00,1985-08-26,"Chácara Mendonça, 20",(051) 9325-8534,M
38705,Sara Nunes,927.601.483-78,1966-12-06,"Vale Lara Costela, 65",(031) 3106 6046,F
27238,Dra. Sarah Cirino,916.453.720-06,1958-12-23,"Trecho de Ferreira, 36",11 6554 7770,M
41263,Thomas Monteiro,041.728.395-41,1981-12-24,"Alameda de Vieira, 800",(061) 0797-2197,M
79539,Lívia Abreu,152.980.436-15,1945-02-03,"Vale Garcia, 810",31 7159-2230,F
16859,Antony Monteiro,724.981.650-02,2001-07-04,"Largo de Sales, 851",+55 31 4606-4037,F
26170,Mateus Araújo,634.928.057-10,2010-11-11,"Alameda de da Costa, 48",+55 (041) 2862 2400,M
53378,Lucas Pereira,729.548.306-38,1950-07-26,"Passarela Asafe Leão, 530",+55 (031) 4864 9603,F
75386,Maya Cassiano,582.417.639-64,1987-06-14,"Favela João Lucas Monteiro, 43",+55 (051) 4733 3990,F
11360,Kaique Novaes,852.407.619-49,1949-07-12,"Vereda Anthony Gabriel Aparecida, 86",+55 51 7429 0012,F
45659,Marcelo da Luz,390.615.724-52,1934-01-20,"Viela Cavalcanti, 5",+55 (071) 3986 8708,M
96541,Sra. Maysa Cavalcanti,572.316.849-55,1963-06-26,"Loteamento Aurora Farias, 442",+55 31 5251-7306,M
80281,Srta. Laís Rezende,240.319.867-69,1915-01-05,"Lagoa João Vitor Peixoto, 73",+55 (041) 0185-7671,F
10715,Benicio Correia,065.128.947-58,1941-11-22,"Condomínio de Pastor, 2",+55 (061) 9133 8898,M
35738,Ísis Garcia,810.675.432-44,2008-11-16,"Residencial Souza, 14",21 2571-9535,F
3838,Gabrielly Leão,528.316.940-51,1958-12-03,"Estação Vitor Macedo, 70",21 1875 8582,F
33849,Sophie Oliveira,807.315.926-03,1944-11-06,"Loteamento Apollo Rios, 28",61 5415-1790,F
52110,Pedro Miguel Sá,752.490.381-23,2014-03-03,Estrada de Siqueira,21 1782 1870,M
74896,Ana Cecília Aragão,405.871.623-17,2007-09-24,"Recanto Novais, 2",+55 (081) 1000 6495,M
83859,Paulo Araújo,970.351.428-60,1953-05-19,"Sítio Mendonça, 14",(011) 5369-7357,F
12774,Emanuel Dias,625.307.819-40,1966-01-18,"Alameda Lucca Gonçalves, 67",31 9569-7796,M
59937,Pietra Castro,390.647.128-40,2015-06-26,"Viaduto Thiago Nunes, 20",+55 11 8923 4899,M
16401,Maitê Novais,509.236.184-06,1968-06-03,"Parque Câmara, 47",(081) 5803 8220,F
79271,Théo Cunha,946.720.538-65,1989-07-08,"Viaduto Stephany Dias, 26",(081) 1250-1961,F
75317,Milena Lima,401.536.729-43,1989-12-30,"Loteamento de Araújo, 4",+55 (081) 3629 6686,M
93641,Amanda das Neves,863.297.041-04,1913-01-31,"Estrada de Freitas, 3",0900-776-7145,M
51716,Lara da Costa,364.257.190-52,1947-12-11,"Via da Cunha, 95",+55 51 7415 5053,F
57983,João Lucas Guerra,980.754.132-88,1984-03-06,Residencial de Novaes,+55 (061) 0508-1016,F
9108,Cauã Souza,520.467.398-92,1915-01-11,"Estrada de Barros, 741",+55 61 3115 8691,M
19930,Milena Vargas,972.168.403-13,2010-10-27,"Lagoa de Caldeira, 729",(071) 6834-5072,M
49611,Gabriela da Rosa,508.263.179-95,2015-10-04,"Parque Câmara, 97",0300 809 0157,F
33738,Maya Albuquerque,235.798.610-77,1916-05-16,"Área de da Paz, 7",(084) 5543-8181,F
22097,Ravi Lucca da Mota,194.286.350-06,2003-10-13,"Sítio da Luz, 77",21 0917 6897,F
96250,Anna Liz da Rosa,123.456.908-60,1996-07-11,"Quadra Ana Luiza Costela, 2",61 8893-6025,F
78720,Josué Câmara,760.915.284-67,2008-02-04,"Recanto Alana Cirino, 17",(021) 9497 3023,F
6522,Guilherme da Mata,194.065.837-39,1996-06-17,"Loteamento Diogo Sampaio, 102",0900 430 8346,M
54348,Alana Machado,928.357.461-37,1914-01-24,"Ladeira Gomes, 92",+55 41 9610 9520,M
59683,Davi Luiz Fernandes,317.429.086-40,1989-04-01,"Distrito de Aparecida, 49",61 1907 3220,F
79303,Felipe Freitas,573.912.468-91,1972-01-14,"Feira Macedo, 65",+55 (071) 4518 7059,F
29248,Samuel Campos,954.321.706-80,1942-09-10,"Quadra de Caldeira, 62",84 2436 2277,F
76260,Maria Clara Pires,924.731.856-46,1960-10-18,"Quadra de Peixoto, 8",+55 41 3293 3810,M
83316,Juliana da Luz,513.987.642-64,2016-06-15,"Vereda de Fernandes, 87",+55 (061) 3971-8238,F
93452,Ayla Fernandes,962.018.475-02,1975-03-16,"Chácara Emilly Jesus, 82",(031) 6253 9548,F
14244,Hadassa Porto,196.074.358-93,1996-06-07,"Pátio Aurora da Rocha, 62",+55 (041) 7382 6200,M
35478,Vitória Leão,840.625.391-60,1996-12-26,"Residencial de Silva, 97",41 4989-7835,M
21028,José Cavalcanti,827.493.516-00,1997-09-18,Chácara Paulo Gomes,(011) 5930-3990,M
84448,Ana Carolina Sampaio,054.217.639-43,1916-01-05,"Estrada de da Rocha, 60",21 0263-4519,F
72495,Eloah Araújo,712.564.038-90,1957-09-10,"Estrada Viana, 11",0900 302 5190,F
13323,Ana Laura Carvalho,601.328.479-22,2018-07-30,"Praia de Cirino, 81",0300-056-6908,F
55879,Luiz Miguel da Conceição,950.731.648-57,1961-09-21,"Fazenda de Albuquerque, 17",84 1411-1439,F
38808,Oliver Sales,604.985.721-02,1961-05-29,"Praia de Pimenta, 52",+55 81 6497-2210,F
73731,Ana Beatriz Abreu,318.720.954-88,1967-11-12,"Colônia Otávio da Luz, 8",+55 21 4068 2028,F
60951,Léo Rezende,058.417.396-20,1981-06-29,"Setor Lucas Novais, 93",61 8148-8596,F
67127,Maria Luísa da Cruz,158.623.904-05,2011-12-25,"Recanto Elisa Gonçalves, 2",+55 61 1699 7640,M
66015,Dr. Henrique Costa,237.684.590-47,2015-10-24,"Alameda Théo Machado, 87",(031) 3177 1872,F
89124,Ana Clara Monteiro,820.915.346-33,2016-05-30,"Chácara Rafaela Borges, 298",61 6546-5170,M
63574,Dra. Ana Lívia Pinto,846.530.927-29,1981-08-16,"Aeroporto Santos, 22",61 5921 2277,F
76907,Isadora Ferreira,357.821.690-95,1935-11-28,"Viela de Gomes, 47",(041) 9596 1775,F
90978,Bella Leão,539.167.240-61,2024-03-13,"Condomínio Cassiano, 47",84 3306-6133,F
93676,Levi Nogueira,521.479.038-41,2015-11-28,Chácara de Novaes,(071) 6203 4791,F
68079,Davi Lucas Gomes,283.940.675-65,1984-02-12,"Parque de Mendes, 6",84 5119 2614,F
20466,Sra. Maria Cecília Vieira,726.945.380-29,1948-10-12,"Viela Novaes, 3",21 2800-8881,F
56573,Bento Rocha,651.492.078-02,2015-02-11,"Largo Sophie Siqueira, 9",+55 31 3767 1083,M
17749,Lívia Almeida,503.164.278-53,1919-08-01,"Residencial de Andrade, 14",+55 81 2161-1208,F
29832,Srta. Maria Isis Sousa,786.324.591-55,1967-02-06,Morro Daniela Vieira,+55 81 9998-2476,F
70824,Joana Pimenta,125.976.408-76,2014-11-04,"Colônia Rebeca Pires, 932",31 2437 8830,M
90392,Ana Lívia Caldeira,263.480.519-51,1949-11-01,Estrada de da Mata,+55 (081) 6075 5450,M
14550,Gael Camargo,296.714.035-06,1939-05-18,"Travessa de Vieira, 68",+55 (021) 7702 8007,F
71268,Dom Abreu,716.952.830-40,1954-11-24,"Campo de Macedo, 16",0800-814-0983,M
67721,Rafael Camargo,310.862.749-03,2014-11-25,"Fazenda Campos, 60",(031) 3832-4198,M
92330,Matheus Mendes,517.423.068-53,1985-05-04,"Morro Martins, 79",0800-806-4508,M
53211,Maria Alice Melo,973.580.612-68,1999-02-05,"Trecho Lavínia Viana, 56",81 2523-1099,M
29431,Thiago Brito,154.738.026-80,1962-11-25,"Colônia Stella Sousa, 80",71 0737-9998,M
63418,Thales da Cruz,325.810.694-06,2001-01-20,"Parque Murilo Freitas, 87",(071) 5248-8020,F
69813,Mathias Cavalcanti,910.257.386-59,1977-03-06,Avenida Calebe Garcia,(071) 3651-3759,F
90757,Sr. José Miguel Macedo,923.847.150-97,2024-07-13,Morro Gomes,21 7643-5871,F
16391,Maria Flor Albuquerque,235.189.764-19,1921-03-15,"Trecho de Souza, 43",81 2007-3482,F
88107,Srta. Vitória Sampaio,163.092.487-31,1988-04-28,"Sítio Stella Guerra, 51",(041) 9572 0391,M
78967,Dra. Maria Júlia Siqueira,748.152.936-19,1998-06-07,"Trevo de Macedo, 49",51 6906 0629,F
51003,Luan Cavalcanti,409.625.318-98,1968-05-08,Feira João Gabriel Macedo,+55 51 9807 5368,F
12949,Isaque Sales,341.859.207-41,1909-08-20,"Praia Ana Sophia Cunha, 76",11 5011-9058,F
59331,Lavínia Sousa,842.950.631-42,1937-08-19,"Viela Sabrina Pastor, 63",(011) 8801-5039,F
725,Yuri da Luz,503.176.489-93,1952-12-22,"Alameda Abreu, 62",+55 (084) 7224 3347,M
48863,Isis Nogueira,428.576.310-90,1978-04-01,"Fazenda de Novaes, 95",(051) 9050 9563,F
79203,Pedro Henrique Cavalcanti,963.451.782-09,2020-11-02,"Sítio Gomes, 7",61 8347-2114,F
80137,Rhavi Alves,071.386.924-04,2022-05-30,"Favela Ferreira, 63",81 8117 6724,F
48189,Vinícius Albuquerque,695.417.083-66,1960-12-31,"Parque Anthony Gabriel Fonseca, 64",+55 (081) 9329-5265,F
93999,Ana Julia Pastor,096.857.142-58,2010-01-31,"Colônia Maria Helena Gomes, 9",(011) 9234 3976,M
61098,Vinicius da Rosa,382.645.170-80,2010-09-03,"Rodovia Benjamim Barbosa, 72",81 9888 8053,F
90551,Sr. Liam Ferreira,086.712.543-80,1996-08-13,"Conjunto de Casa Grande, 241",+55 21 2877 0964,F
32780,João Pedro Dias,362.048.157-17,1950-01-29,"Trevo Correia, 92",0300 293 5038,M
66207,Maria Moraes,516.279.430-99,2003-04-13,"Jardim Ana Laura Campos, 469",+55 (041) 2914 0230,M
33630,Sra. Ayla Novaes,957.280.341-79,2002-08-21,"Avenida Marcelo Sales, 1",(041) 5450 7197,F
96491,Pietro Porto,021.678.439-50,1934-04-28,"Passarela de Ramos, 36",+55 51 7995 8759,F
61952,Lívia Dias,170.934.582-97,1937-12-14,"Travessa de Leão, 208",(084) 1261 7699,F
24713,Otto Jesus,508.369.247-38,2009-01-07,"Quadra Vitor Hugo da Paz, 9",+55 (061) 3342-1530,F
7651,Maria Fernanda Ramos,289.450.716-01,1936-02-20,"Parque Ian Pastor, 467",+55 71 7026-3765,F
23880,Ana Júlia da Mota,617.054.938-66,1977-09-11,"Chácara Benicio Ferreira, 29",0500-313-4168,M
69771,Paulo Jesus,849.761.053-93,1966-10-14,"Trecho Arthur Gabriel Barbosa, 30",+55 71 8350-5942,M
54143,Rebeca Vasconcelos,856.420.937-38,1989-11-09,"Distrito Anthony Gabriel Moraes, 324",(021) 7432 6306,M
34130,Mateus Nogueira,190.375.628-68,2003-03-06,"Conjunto Garcia, 3",(041) 1554 1356,M
93873,Srta. Sara Vargas,018.293.465-98,1976-01-18,"Travessa de Oliveira, 78",+55 11 7498-9342,F
46662,Emilly Rodrigues,978.410.253-60,1926-05-13,"Núcleo João Miguel Jesus, 15",(021) 5997-8510,F
51035,Agatha Silveira,481.063.257-17,1970-08-07,"Sítio Marques, 4",+55 (031) 0596 0107,M
70010,Sophia Cunha,305.216.489-98,2023-06-23,Praça Isabel Albuquerque,+55 31 8831 0175,M
62142,Yago Aragão,561.904.238-33,1910-10-12,"Estrada Mendonça, 9",+55 41 3620-9313,F
53055,Rodrigo Guerra,493.610.852-98,1966-12-26,"Quadra Rael Melo, 585",+55 41 4349-4482,F
52632,Bernardo Siqueira,642.890.357-10,1915-11-14,"Colônia Luna Garcia, 55",+55 (031) 3024-2617,F
77978,Srta. Antonella Nogueira,965.381.027-86,1955-03-09,"Praia Lara Melo, 3",+55 (011) 0581 6968,F
13821,Maria Julia Cassiano,972.340.518-05,2015-10-16,"Feira Sousa, 6",+55 (031) 1893 5297,F
1907,Isaque da Rosa,498.176.025-67,1921-03-23,"Favela de da Mata, 46",(041) 3685-7812,F
99239,Pedro Lucas Guerra,824.091.357-14,1910-06-18,Favela Ryan Abreu,0500 574 7119,F
61272,Leonardo Rezende,632.984.705-38,2013-12-03,"Trecho Carolina Casa Grande, 35",+55 (031) 0352-1661,M
29101,Bianca Siqueira,183.549.067-01,1937-02-02,"Sítio Renan Peixoto, 29",71 2521-8693,F
31214,Lucas Vargas,350.679.281-40,2004-06-29,"Largo Joaquim Nogueira, 83",11 8569 9196,M
66055,Milena Montenegro,156.830.729-21,1991-01-02,Travessa Bernardo Pimenta,+55 61 1913-2635,M
69590,Arthur Moraes,430.695.827-29,2020-02-08,"Estação Rodrigues, 92",0800-415-1979,F
65122,Benjamim Caldeira,510.493.628-70,1930-09-01,"Distrito Melo, 65",+55 (021) 2386 6392,F
94207,Rael Sampaio,367.928.401-22,1983-09-23,"Fazenda de Rocha, 61",+55 (031) 3593 2390,F
82611,Sra. Sofia Casa Grande,942.857.301-97,1990-06-27,"Jardim de Borges, 4",71 6007-4039,M
64105,Laura Pinto,019.238.746-40,1947-10-26,"Lagoa Silva, 6",+55 (011) 7576-0878,F
79334,Carolina Pires,603.214.579-43,1947-10-21,"Pátio de Aragão, 3",+55 (031) 1306 7291,M
92090,Dr. Arthur Gabriel da Mota,628.934.075-10,1943-06-18,Estação de Cirino,+55 (011) 4836 2858,F
30937,Benjamin Aparecida,958.764.231-73,1966-10-06,"Viela Davi da Mata, 77",+55 (021) 9494 3382,F
69410,Davi Lucas Campos,167.802.594-11,2015-10-06,"Jardim Albuquerque, 180",+55 (021) 9112-2588,F
26339,Olívia Cirino,250.379.184-05,1913-05-06,"Largo de Viana, 10",(031) 5085 7019,F
78725,Allana Guerra,598.264.307-65,1974-04-08,"Distrito Moreira, 566",51 6421 6245,M
46023,Heloisa Barbosa,512.763.498-82,2011-02-25,"Área Santos, 61",+55 84 0536 2252,F
64949,Isabelly da Costa,598.213.064-89,1910-10-15,"Sítio de Ramos, 730",+55 71 1232-8714,F
12096,Sr. Levi Melo,218.579.346-28,1980-07-15,"Residencial da Paz, 85",+55 11 5897 9979,F
11042,Brayan Casa Grande,203.864.915-42,1955-01-13,"Praça Mariane Nascimento, 6",(031) 1072-5518,M
