idlocacao,inquilino,valor_contrato,vigencia,localizacao,corretor,imovel
59447,Thomas Borges,14615,2022-10-20,"Esplanada Bruna Sales, 7
Virgínia
62397-022 Lima / RR",Antony Casa Grande,16956
37003,Julia Siqueira,2574,2024-02-19,"Ladeira de Fonseca, 11
Diamante
13081-306 Ferreira / AM",Dra. Lívia Silva,56199
36120,Joana Vargas,9943,2022-05-07,"Avenida da Cruz
Aguas Claras
57958072 Cirino de Duarte / MG",Esther Sousa,25359
17323,Caio Pereira,8237,2022-01-07,"Estrada de Andrade, 95
Santa Lúcia
31899-973 Cassiano / AM",Davi Lucas Lima,13396
36378,Antony Rocha,6642,2024-09-23,"Colônia de Rodrigues, 990
Cônego Pinheiro 2ª Seção
14925-505 Oliveira de Oliveira / ES",Allana Pereira,7949
16490,Isabella da Conceição,8860,2024-06-29,"Viaduto de da Conceição, 886
Zilah Sposito
07418058 Jesus Paulista / BA",Maria Helena Brito,63791
73251,Josué Fogaça,18264,2023-10-08,"Quadra de Pinto, 7
Virgínia
72285-163 Rezende das Flores / PR",João Guilherme Ramos,91402
42729,Juan Abreu,12357,2022-07-31,"Vila João Pedro Duarte, 38
Suzana
92973438 Camargo de Goiás / BA",Ana da Mata,73327
74664,Arthur Gabriel da Luz,1904,2024-07-12,"Conjunto de Aparecida
Teixeira Dias
39582337 Machado / RN",Dr. Paulo Porto,54040
97851,Oliver Lima,17472,2022-12-24,"Campo Mirella da Cruz, 7
Vila Copacabana
20813075 da Rosa / MS",Ísis Porto,32812
15801,Dr. João Miguel Abreu,17979,2023-06-29,"Estação Rocha, 57
Aeroporto
07308-154 Vasconcelos / RN",Olivia da Paz,92957
96104,Natália Lima,4111,2023-03-07,"Chácara de Pires, 1
São José
39966495 Leão do Galho / BA",Luiz Gustavo Guerra,99962
56668,Sr. Matteo Sales,2033,2022-04-05,"Praia Lima, 92
Vila Calafate
59824-972 Ferreira da Serra / TO",Emanuel Moura,22162
7551,Augusto Vasconcelos,13814,2022-06-24,"Setor Pimenta, 13
Maria Virgínia
98913362 Araújo / PE",Fernanda Gomes,32374
70044,Marcos Vinicius Fogaça,14422,2023-10-05,"Trecho de Moreira, 16
Vila Copacabana
42888595 Peixoto de Minas / RN",Ana Luiza Guerra,54106
24620,Camila Pires,13355,2022-03-17,"Avenida de Vargas
Vila Mangueiras
37959128 Moreira dos Dourados / PA",Pietro Lopes,56317
60517,Anthony Sousa,16808,2022-05-30,"Vereda Lívia Freitas, 94
Marçola
59589-315 Costa Alegre / PE",Yuri Montenegro,91348
60733,Júlia Silveira,10152,2023-05-08,"Largo de Teixeira, 41
Nossa Senhora Do Rosário
51481-036 Montenegro / SC",Ana Júlia Albuquerque,5564
13359,Ravi Lucca Cassiano,10901,2022-04-05,"Aeroporto Heitor Peixoto
Maravilha
78179829 Santos de Rocha / AM",Luan da Cunha,24023
2445,Dra. Anna Liz Albuquerque,12948,2023-07-12,"Avenida Rodrigo Montenegro, 29
Marçola
47635519 Lima / AC",Arthur Miguel Borges,98062
97348,Maitê da Luz,13593,2022-01-06,"Distrito da Cruz, 81
Betânia
78572528 da Cruz / RR",João Felipe Martins,19604
62239,Sr. João Felipe da Conceição,16054,2024-05-01,"Praça Lucas Gabriel Sampaio, 24
Vila Primeiro De Maio
49128-440 Câmara / GO",Maria Eduarda Correia,11411
28266,Bento Alves,16207,2022-11-08,"Estação Vitória Monteiro
Mariquinhas
55050-039 Melo / MS",Ryan da Rocha,97995
5934,Benjamin Ribeiro,9027,2024-10-04,"Aeroporto Freitas, 73
São Francisco Das Chagas
77196-532 Castro / SE",Sr. Benjamin Carvalho,38311
78865,Beatriz Fernandes,1811,2024-07-10,"Distrito de Pires, 732
Mariano De Abreu
40511-953 Montenegro / PI",Erick Rezende,89369
48554,Sr. Nathan Borges,12933,2023-10-04,"Praça Gonçalves, 20
Acaiaca
15474146 Vargas do Sul / PB",Luísa Melo,17886
4149,Yan das Neves,8164,2022-04-19,"Rodovia Castro
Santa Margarida
26099219 Nogueira / GO",Yasmin Moura,37319
90243,Sr. José Pedro Cavalcante,18595,2022-01-09,"Sítio Vargas
Glória
76956-159 Moraes / RR",Sophie Duarte,9906
37109,Liam Silveira,5266,2022-06-02,"Estação de Vargas, 72
Cidade Nova
64841-462 Duarte da Serra / BA",Alexia Almeida,60229
67193,Luiz Gustavo Duarte,9035,2022-07-24,"Lago Leandro Guerra, 354
Santa Rita
96527965 Lopes de Novais / CE",Sra. Júlia Silva,4851
50480,Manuella Duarte,19643,2023-07-04,"Aeroporto de Sá, 44
Heliopolis
04945-860 Araújo de Dias / AP",Maria Vitória Gonçalves,14678
92740,Gabriela Vasconcelos,14142,2022-08-26,"Estrada Nogueira, 41
Dona Clara
78828-424 Nunes da Prata / RR",Sara da Mota,73269
38251,Stephany Barros,10800,2023-08-05,"Feira de Moraes, 73
Palmeiras
48624-711 Camargo da Mata / DF",Emanuel Macedo,94804
56984,Dra. Isabela Porto,18889,2023-10-12,"Passarela Caroline Nascimento, 72
Varzea Da Palma
59268304 Vargas / PB",Isabelly Albuquerque,7310
99224,João Guilherme Caldeira,8377,2023-01-30,"Ladeira Correia, 45
Granja Werneck
11641-166 Martins de Goiás / AM",Theo Rocha,37433
40163,Theodoro Gonçalves,13367,2023-10-21,"Sítio de Jesus, 35
Canaa
01724-190 da Rocha Grande / MS",Gustavo Vieira,55910
82528,Dra. Heloísa Lopes,12765,2024-03-11,"Conjunto Isabela Fonseca, 71
Vila Nossa Senhora Do Rosário
71401-452 Mendonça / TO",Dante Peixoto,38726
21794,Laís Almeida,3204,2022-01-01,"Pátio de Mendonça, 77
Vila Pinho
56958315 Cavalcanti / RR",Luna Andrade,30287
67456,Sr. Miguel Moura,6847,2024-05-19,"Condomínio Heloisa da Mata, 32
Distrito Industrial Do Jatoba
06200-220 Novaes da Mata / AP",Maitê Leão,20646
95552,Pedro Lucas Cavalcante,6085,2024-09-01,"Passarela Melo, 9
Vila Paquetá
61368862 Ribeiro da Prata / DF",Alice Silva,92273
16482,Diogo Aragão,18117,2022-03-23,"Estrada Ayla Pacheco, 5
Vila Madre Gertrudes 1ª Seção
04633-507 Teixeira de Casa Grande / SP",Pietra Barros,91201
56934,Breno Guerra,13872,2023-03-10,"Avenida Eduardo Azevedo, 983
Maria Goretti
44071210 Barbosa / CE",Lucas da Conceição,29290
17725,Sara Carvalho,10809,2023-08-22,"Quadra Camargo, 5
Vila Batik
83667-922 Novais de Carvalho / BA",Theo Moreira,15701
84278,Julia Cassiano,11853,2024-08-03,"Travessa Sophie Azevedo, 447
Vila Independencia 2ª Seção
74407899 Marques / RN",Heloísa Leão,89898
39258,Maria Pereira,15203,2024-11-11,"Morro Azevedo, 73
Vila Atila De Paiva
81463-982 Costa das Flores / AP",Isabella da Cruz,38538
55011,Vitor Hugo Alves,10888,2024-06-13,"Vale Anthony Azevedo, 60
Boa Vista
27146-917 da Conceição / MA",Heloisa Caldeira,13126
76632,Letícia Silva,1768,2022-01-11,"Colônia Sá
Vila Calafate
16528-567 Fonseca / MS",Luísa Carvalho,56843
35873,Léo Borges,3418,2023-04-15,"Via Mariana Sá, 2
Barroca
36345-512 Nunes / MA",Vinícius Cunha,51100
49283,Isabelly Cassiano,17782,2022-07-13,"Rua Levi Duarte, 84
São Bento
85016-253 Martins dos Dourados / MS",Luana da Mata,71219
4573,Olivia Sampaio,15913,2024-04-04,"Morro de Nogueira, 22
Vila Paquetá
50220-275 Fernandes / RR",Vitor Sampaio,72964
90975,Theodoro Freitas,13099,2023-10-06,"Condomínio Danilo Mendes, 81
Cidade Jardim Taquaril
78431412 Vieira / TO",Sra. Juliana Cunha,43644
76205,Aurora Martins,5485,2023-08-02,"Colônia Anthony Nunes, 346
Fernão Dias
75839604 Nascimento / MT",Srta. Heloisa Lima,70761
7195,Lavínia Silveira,7487,2024-02-09,"Conjunto Casa Grande, 36
Vila Nossa Senhora Do Rosário
34079-836 Farias de Mendes / AP",Pedro Lucas Sá,60911
79521,Breno Dias,9970,2024-01-19,"Colônia de Macedo, 5
São Sebastião
35733-701 Dias / PA",Kaique Novaes,91809
3499,Laura Mendonça,3773,2022-11-06,"Chácara Ana Lívia Silva, 99
Santa Cecilia
48042778 Andrade de Pires / BA",Benjamim da Costa,85832
10877,Gabrielly Guerra,9129,2022-07-04,"Feira de Nunes, 717
Marieta 3ª Seção
68590517 Martins Grande / BA",Ana Beatriz Cardoso,41915
323,Kaique Peixoto,13988,2023-05-29,"Esplanada Castro, 16
Buraco Quente
90478414 Correia / PI",Bento Gomes,58087
47663,Gustavo Martins,18952,2023-03-26,"Esplanada Sá, 135
Vila Independencia 1ª Seção
22789-593 Aparecida do Campo / PA",Valentina Correia,89334
40896,Maysa Casa Grande,7859,2022-11-26,"Largo Nathan da Paz, 7
Jardim Do Vale
25513-861 Garcia de Dias / PA",Dr. Leandro da Costa,82259
29112,Bella Moura,14224,2021-12-05,"Ladeira Castro, 72
Nossa Senhora Do Rosário
52747-350 Caldeira / SP",Dr. Samuel Duarte,88549
46349,Asafe Nogueira,7253,2024-07-14,"Vale Gomes, 231
Santa Rosa
34553120 Abreu / AC",Jade das Neves,43719
60029,Clarice Pastor,15838,2024-01-07,"Favela Benicio Aragão, 85
Heliopolis
87201-683 Sá / PB",Fernanda Rodrigues,23769
32574,Dra. Nicole Fogaça,18648,2023-04-29,"Feira Teixeira, 3
Barreiro
25802-603 Alves da Mata / PR",Maitê Moraes,88937
72858,Melina Mendonça,16218,2024-03-29,"Núcleo Fonseca, 36
Vila Independencia 3ª Seção
43258689 Vieira Grande / SC",Rael Mendonça,79070
73104,João Felipe Silva,2276,2023-05-01,"Vale Carvalho
Conjunto Lagoa
93414603 Silva / MT",Dra. Maria Cecília Melo,9525
17641,Dra. Larissa Peixoto,11327,2024-07-10,"Rua de Santos, 23
Vila Minaslandia
97140-067 Cavalcanti de Goiás / PA",Ana Liz Pastor,63090
58327,Benjamin Araújo,10495,2024-08-19,"Trecho de Vargas, 93
Leonina
42210-037 da Costa / RR",Pietra Pastor,29268
86130,Ana Sophia Porto,17646,2024-05-03,"Aeroporto de Sales, 85
Vila Nossa Senhora Do Rosário
14435-690 Fogaça do Campo / PR",Stella Brito,44609
96376,Maria Sophia Lima,12158,2023-08-07,"Via Pietro Novais, 558
Vila Madre Gertrudes 2ª Seção
53657-902 Pinto dos Dourados / RJ",Diogo Machado,16029
54377,Maria Clara Almeida,9590,2023-10-18,"Travessa João Marques, 40
Cdi Jatoba
02640949 Martins da Serra / SP",Rhavi Pimenta,77446
37854,Maria Isis Vasconcelos,19013,2023-09-25,"Quadra de Monteiro, 94
Jardim Dos Comerciarios
20008-881 Novais / PA",Matheus Santos,60187
88564,Cauã Campos,10543,2023-12-29,"Rua Souza, 88
Teixeira Dias
83610-032 Câmara da Mata / ES",Raul Lopes,38629
19508,Benjamin Mendonça,16721,2022-10-19,"Viaduto Duarte, 39
Xangri-Lá
94275268 Sampaio Paulista / PA",Maya Albuquerque,66647
77848,Nathan Viana,17897,2022-06-13,"Sítio Oliveira, 732
Atila De Paiva
24860610 Casa Grande / PA",Arthur Miguel Cunha,90641
64563,Maria Júlia Pastor,5449,2024-05-23,"Lagoa Luigi Rezende, 38
Floresta
73801-963 Azevedo de Minas / PI",Luiz Gustavo Cavalcante,81330
92172,Isaac Melo,18644,2023-01-02,"Loteamento Garcia
Santa Terezinha
88736-352 Pimenta do Amparo / AP",Maria Helena Melo,39401
6807,Giovanna Souza,19917,2022-08-13,"Chácara da Paz, 707
Bandeirantes
67832-083 Ferreira / RR",Joaquim Viana,23683
40739,José Miguel Pires,16691,2023-12-15,"Estação de Leão, 816
São Sebastião
96538371 Rios / SE",Dra. Caroline Dias,62311
82218,Dr. João Gabriel Nogueira,14403,2024-02-25,"Área Mendonça, 19
Bernadete
63055970 Ramos Grande / PB",Emanuelly Garcia,78790
53155,Heloisa Guerra,3058,2024-07-12,"Conjunto Bruna Viana, 17
Ouro Preto
38735929 Rocha de Monteiro / DF",Ana Julia Sousa,62384
16925,Carlos Eduardo Mendes,8899,2022-04-21,"Viaduto de Caldeira
Vila Califórnia
26481696 Sá do Amparo / PE",Lavínia Machado,57298
16802,Sr. Luigi Gonçalves,12760,2023-02-02,"Vila Correia, 783
Trevo
04992-675 Machado / MA",Ana Julia Carvalho,70315
33422,Maitê Jesus,14134,2024-10-07,"Quadra de Cunha, 348
Vila Nova Cachoeirinha 2ª Seção
98090-326 Melo / SC",Benício Viana,54537
18861,Catarina Moraes,9889,2024-06-01,"Quadra de Albuquerque, 51
Vila Da Paz
14688948 Azevedo / MT",Luiz Henrique Freitas,87308
13090,Calebe Souza,4711,2023-04-26,"Largo de da Cruz, 93
Granja Werneck
70352988 Casa Grande / MS",Kamilly Ramos,34078
85078,Luiz Miguel Souza,1925,2024-05-21,"Passarela de Martins, 91
Glória
51865-049 Melo / SC",Ester Fogaça,54017
21419,Ana Sophia Alves,7030,2021-12-02,"Feira Sarah Peixoto, 444
Biquinhas
43365-094 Silveira / RS",Vinicius Costela,83088
9352,Dr. Heitor Guerra,2358,2022-09-21,"Sítio Pedro Casa Grande, 99
Cônego Pinheiro 2ª Seção
36657-957 Leão do Norte / PB",José Pedro Teixeira,97758
3991,Alexandre Macedo,12254,2024-11-15,"Rua Benjamim Gomes, 1
Vila Bandeirantes
71222-746 Sá da Prata / PB",Caleb Mendonça,37053
40066,Lucca Vargas,19905,2022-08-07,"Passarela Mariah Abreu
São Jorge 3ª Seção
66753-810 Monteiro / RR",Vinicius Duarte,97762
37019,Julia da Paz,18956,2023-12-08,"Lago Valentina Fonseca
Camponesa 1ª Seção
22554616 Marques / MT",Maria Isis Monteiro,74764
89669,Beatriz Santos,7204,2024-09-09,"Vale de Montenegro, 23
Alto Das Antenas
52524836 da Luz de Nogueira / PI",Alexia da Mata,61212
38975,Diego Melo,4902,2022-07-25,"Área Guerra, 920
Juliana
24457250 Moreira / PA",Catarina Leão,51298
14816,Joana Guerra,11017,2024-06-07,"Loteamento Maysa Sales, 191
Tirol
27672-871 Câmara de Goiás / PB",Marcos Vinicius Jesus,96251
68554,Caleb Abreu,18438,2023-12-23,"Praça de Sampaio, 371
Barão Homem De Melo 1ª Seção
90372-776 Sampaio / MA",Evelyn Freitas,13146
79823,Thomas Oliveira,10724,2024-08-21,"Avenida Pedro Miguel da Costa, 67
Laranjeiras
84294-070 Cardoso de Souza / RO",Kamilly Pacheco,16081
86970,Maria Alice Monteiro,15183,2023-05-02,"Ladeira de Vasconcelos
Nossa Senhora Da Conceição
16589859 da Rocha da Serra / SP",Anthony Pimenta,88712
12199,Catarina das Neves,13317,2023-06-21,"Fazenda João Gabriel Costela
Ermelinda
10712727 Melo Grande / RJ",Thiago Montenegro,65334
25649,Dante Rios,7684,2024-01-03,"Conjunto Igor Correia
Túnel De Ibirité
50565829 da Conceição da Praia / MG",Dr. Luan das Neves,95069
7816,Lucas Gabriel Sales,16196,2022-03-19,"Distrito de Brito
São Damião
92625-716 Santos da Mata / MG",Agatha Moura,75684
40886,Ana Júlia Montenegro,18708,2022-10-14,"Fazenda Ribeiro, 5
Vila Jardim Montanhes
27572-783 da Cunha do Norte / MA",Marina Sá,269
59045,Aurora da Cunha,15361,2022-12-06,"Trecho de da Rocha, 505
Leonina
77429102 Farias / DF",Erick Cavalcante,68112
80954,Srta. Júlia Melo,7321,2023-02-20,"Chácara Lorena Siqueira, 7
Vila Santa Monica 1ª Seção
30426817 Castro do Norte / SP",Dra. Maria Luísa Casa Grande,55400
70783,Bryan Caldeira,2736,2022-06-03,"Pátio Mendonça, 9
Vila Nova Gameleira 3ª Seção
44630626 Nogueira / SE",Dr. Valentim Ramos,92759
9483,Vinicius Carvalho,9697,2022-12-29,"Vila Ana Beatriz Aragão, 57
Serra Verde
12075712 Pimenta / AP",Ana Julia Viana,66630
33164,Ester Caldeira,9662,2022-03-29,"Distrito da Cunha
Lagoa
96114772 Rocha dos Dourados / MG",Sr. Bernardo Azevedo,16717
84248,Nicole da Mota,1533,2024-04-16,"Vereda Cavalcante, 537
Alípio De Melo
96366912 Silva de Mendes / MA",Isabel Leão,81597
64369,Sophia Costa,4879,2022-10-08,"Quadra de Gomes, 9
Europa
97874-928 Pimenta / AM",Luana Ramos,23519
77466,Eloah Brito,9333,2024-04-22,"Colônia de das Neves, 84
Flavio De Oliveira
45850-878 Macedo do Galho / RS",Brenda Macedo,61927
282,Srta. Stephany Sampaio,14533,2024-02-16,"Passarela de Alves, 3
São Tomaz
26221508 da Costa Grande / GO",João Guilherme Silveira,47308
88587,Dra. Sabrina Aragão,9170,2022-09-24,"Área Henrique Câmara, 33
Penha
82558575 Pinto de Goiás / SP",Ana Júlia da Rosa,78083
28435,Sra. Raquel Freitas,15039,2022-05-30,"Rodovia Maria Clara Gomes, 84
Dom Joaquim
68356-974 Nunes de da Mata / RN",Alícia Melo,51701
42394,André da Costa,4201,2024-10-22,"Área Emanuel da Cruz, 4
Andiroba
66809-333 Costa do Amparo / SP",Benjamim Pastor,62316
5281,Fernanda Macedo,3832,2023-09-27,"Alameda Vargas, 567
Vila Inestan
90108566 Guerra / RN",Alice Rios,85093
20867,Augusto Araújo,9089,2024-04-19,"Passarela Martins
Carmo
47446091 Barbosa de Gonçalves / PR",Antony Garcia,88687
37326,Ana Clara Albuquerque,1441,2022-12-15,"Trecho Ravi Lucca Cardoso, 97
Tupi A
35189977 Novaes / AL",Rebeca Cunha,39124
61597,Maria Laura Borges,8590,2022-02-14,"Travessa de da Cunha, 941
Vila Suzana Segunda Seção
61554-028 Leão / AL",Ester Câmara,51735
58811,Letícia Santos,18312,2022-07-28,"Núcleo Emanuel Abreu, 16
Alípio De Melo
05098177 da Conceição / PE",Davi Miguel Araújo,87562
76076,Enzo Gabriel Abreu,5467,2024-03-21,"Campo Sampaio, 205
Vila São Dimas
42614-155 Pacheco do Campo / SE",Sr. Vicente da Costa,68523
83271,Esther Camargo,3979,2023-10-27,"Pátio Macedo, 93
Grotinha
75801875 Duarte / ES",Maria Vitória Gonçalves,17352
72772,Cauê Vieira,16983,2022-07-13,"Sítio Fernandes, 56
Suzana
12945039 Nascimento / RR",Lívia Nogueira,71331
86945,Sofia Abreu,13500,2024-09-23,"Loteamento Santos
Aarão Reis
66976096 Rocha do Galho / RS",Lucas Gabriel Sampaio,65497
15882,Ryan Teixeira,8233,2022-02-15,"Núcleo Isabela Cavalcante
Marilandia
75699275 Azevedo do Sul / PR",Maria Isis da Mata,70066
18022,Isaac Teixeira,17575,2022-01-12,"Trevo Maria Clara Porto, 8
Barão Homem De Melo 1ª Seção
22232-675 Siqueira / BA",Sarah Vasconcelos,93025
47336,Srta. Vitória Vasconcelos,19276,2022-12-30,"Avenida de Lopes
Casa Branca
62049-985 Cavalcanti / RR",Sra. Clarice Castro,10516
7598,Sarah Cunha,17200,2024-07-18,"Vereda Castro, 8
Guarani
24151-786 da Conceição / PR",Maria Luiza Martins,50070
45350,Fernando Siqueira,8265,2024-08-13,"Vereda de Sales, 5
Cdi Jatoba
83486-817 Macedo / AL",Isaac Azevedo,38660
49123,Mariana Pimenta,4438,2024-08-20,"Rua da Conceição, 8
Conjunto Celso Machado
09786082 Albuquerque / MG",Dra. Lunna Guerra,64218
55007,Alana Ferreira,6269,2024-05-07,"Rua Melo, 50
Piraja
63841821 Ferreira Grande / MS",Vicente da Luz,36214
29507,Henry Gabriel Costela,10849,2024-08-17,"Área de Montenegro, 856
Vila Trinta E Um De Março
65750497 Cavalcanti de Campos / AL",Ana Lívia Mendes,1109
37771,Pedro Henrique Costa,16640,2023-01-30,"Viela de Camargo, 816
Vila Sesc
45383-627 Viana / BA",Laís Pimenta,11637
16522,Maria Laura Câmara,13013,2022-02-08,"Lagoa Melina Cavalcanti, 63
Conjunto Lagoa
44395-340 Duarte de Fogaça / TO",Nicolas Araújo,38965
73159,Dr. Kaique Rocha,3350,2021-12-15,"Alameda Rebeca Nascimento
Castanheira
01239452 da Mota da Serra / AC",Dr. Brayan Pinto,7112
45187,Luiz Miguel Dias,10473,2022-05-25,"Chácara Mendonça, 62
Jardinópolis
03612-773 Fernandes / CE",Ana Júlia Câmara,19305
8299,Benicio Fonseca,13427,2024-08-01,"Ladeira Farias, 32
Bonsucesso
06972808 Albuquerque / RN",Mariana Marques,67610
14418,Dr. Breno da Paz,19879,2022-02-03,"Alameda de Teixeira, 18
Itatiaia
37169195 Gonçalves / ES",Pedro Henrique Pereira,86057
58354,Sr. Rael Duarte,11860,2023-07-21,"Lago Mendonça, 89
Milionario
34842-886 Cassiano do Oeste / PI",Dr. Kaique Gomes,91152
11865,Emilly Farias,11137,2022-01-03,"Viela Alves, 43
Bela Vitoria
18432146 Pimenta Grande / SP",José Gonçalves,66439
50025,Gustavo Henrique Mendes,2114,2023-02-05,"Residencial Rezende, 5
Marieta 3ª Seção
97642-700 Cavalcante / BA",Henrique Andrade,91628
85910,Sophia Cirino,19877,2024-03-20,"Alameda Alana Novaes, 7
Vila Copasa
71070-369 Vargas Verde / AP",Paulo Montenegro,40180
43757,Rael Melo,3237,2024-05-15,"Trecho Alana Monteiro, 54
Vila Nova Cachoeirinha 2ª Seção
83284-065 Souza das Flores / AL",Pedro Lucas Machado,18595
42430,Catarina Brito,7177,2023-03-02,"Jardim Cavalcante, 9
Solimoes
07454-825 da Rocha de Minas / BA",João Lucas Nascimento,17156
4334,Ryan Andrade,19307,2021-12-26,"Ladeira de Costa, 73
Dom Joaquim
75286902 Santos / SC",Valentina Silveira,37058
61471,Brenda Gonçalves,6939,2023-08-27,"Parque Novais, 330
Vista Do Sol
08746830 Gonçalves da Praia / AP",Levi Correia,97331
30441,Antony Ramos,12620,2023-10-23,"Passarela Isaac Moreira
Vila Coqueiral
17858-717 da Costa Verde / CE",João Vitor Azevedo,99084
54007,Emanuel da Rosa,8343,2023-04-11,"Lago de Ramos
Oeste
24391-657 Teixeira / CE",Alana Ferreira,27648
89593,Ian Ramos,16709,2024-03-16,"Via João Felipe Pacheco, 928
Novo Glória
46277078 Camargo dos Dourados / ES",Ana Vitória Almeida,57735
9379,Olivia Macedo,17927,2022-09-16,"Residencial de Marques, 43
Vila Canto Do Sabiá
65219-552 da Mata das Pedras / TO",Cecilia da Rosa,43743
68245,Yasmin Cirino,5230,2023-06-10,"Praia de Araújo, 51
Vila Sumaré
78279890 Melo / AP",Ana Sophia Ferreira,60248
36992,Guilherme Costa,14947,2022-02-19,"Via Luna Macedo
Vila Nova Cachoeirinha 2ª Seção
58506-514 Pimenta do Oeste / PA",Diogo da Mota,34599
51418,Sr. Matheus Silveira,7246,2022-12-26,"Passarela Clarice Carvalho, 26
Concórdia
15593944 Lopes / PB",Rafaela Sales,19886
96659,Isabelly Ramos,3477,2023-07-21,"Largo Borges, 52
Vila Nossa Senhora Do Rosário
33083169 Novais do Campo / RO",Ana Liz Cunha,50582
72592,Arthur Moreira,11103,2024-04-01,"Parque de da Cruz, 6
Aarão Reis
27480784 Albuquerque / MS",Ana Lívia Cassiano,10067
37269,Rodrigo Aparecida,6283,2023-02-10,"Vila de Novaes, 55
Anchieta
09959994 Fogaça / DF",Emanuelly Cardoso,82053
32286,Isabelly Caldeira,8081,2023-12-16,"Estação Nunes, 6
Nossa Senhora Do Rosário
09730494 Aragão / RR",Maysa da Rosa,64715
53691,Maria Clara Peixoto,10084,2022-04-05,"Setor Peixoto, 53
Estrela
78726805 Lopes / AM",Sra. Bianca Ramos,39231
15258,Antônio Macedo,13530,2022-06-16,"Fazenda de Gomes, 10
Granja Werneck
66975221 Rocha / PA",Mirella Siqueira,83745
73886,Pedro Miguel Cunha,13930,2022-10-06,"Colônia Bruno Cavalcante, 74
Conjunto Novo Dom Bosco
71566-720 Sampaio de Goiás / RS",Bárbara Sampaio,70969
54533,Maria Luísa Porto,11286,2022-06-24,"Parque Novais
Horto
92403078 da Conceição do Galho / AC",Dr. Henry Sales,95733
17342,Benjamin Pimenta,10445,2023-01-15,"Esplanada Cassiano, 271
Vila Dos Anjos
75818-392 Vieira do Norte / SE",Nathan Borges,65152
99485,Rafael Teixeira,18882,2022-07-15,"Feira da Cunha, 97
Santa Terezinha
29981659 Cardoso do Campo / RN",Sara Rocha,16863
54033,Théo Moreira,3529,2022-07-31,"Distrito Pimenta, 3
Vila Fumec
83642-639 Araújo da Mata / DF",Sr. Yan Andrade,41409
5240,Laura Souza,14245,2022-11-02,"Morro de Aragão, 712
Esperança
54656-483 Guerra Paulista / RS",Sr. Caleb Sales,18186
91700,Srta. Mirella Martins,16656,2023-06-07,"Área Hadassa Garcia, 616
Jardim Montanhês
80810479 Alves / RN",Matteo Carvalho,6212
44102,Sr. Antônio Aragão,11849,2022-01-01,"Passarela Stella Barbosa, 47
Trevo
54056-593 da Luz / PA",Dra. Ana Clara Aragão,3000
5905,Sr. Leandro da Rocha,5736,2022-04-12,"Favela Mendonça, 697
São Bento
11039196 Monteiro / MA",Sr. Vicente da Mota,72551
19370,Juliana Vieira,18743,2021-12-29,"Núcleo de Pereira, 8
Vila Madre Gertrudes 3ª Seção
08951996 Siqueira / RR",Luiz Miguel Castro,54079
84244,Mathias Farias,3986,2023-03-28,"Morro da Cruz, 8
Embaúbas
95067-193 Nunes / PB",Luna Sampaio,83091
49418,Ana Clara Abreu,7769,2022-07-18,"Jardim da Luz, 14
Esplanada
44435-342 Azevedo / DF",Luna Farias,30712
60259,Alícia Fonseca,1116,2022-03-12,"Recanto Bárbara Leão, 37
Alto Barroca
39269921 Aragão / PB",Benjamim Fernandes,40988
73316,Olivia Costela,11324,2022-11-06,"Praça Barbosa, 737
Pilar
87663960 Rezende do Oeste / PR",Miguel da Luz,59597
69749,Sr. Luiz Henrique Vasconcelos,5307,2022-12-17,"Colônia Guerra
Novo Das Industrias
69827-506 Pereira de Ferreira / PA",Maria Vitória Peixoto,24537
90204,Eduardo Barros,4199,2022-05-15,"Estrada Caldeira, 78
São Jorge 2ª Seção
46049792 Costa do Amparo / MG",Léo Lima,863
92784,Srta. Hadassa Novaes,17390,2021-12-04,"Via Nascimento, 46
Lagoinha Leblon
64478282 da Luz do Campo / AC",Luiz Felipe Brito,14204
3405,Ágatha da Paz,17739,2023-12-12,"Condomínio Machado, 20
Vila União
17206-181 Casa Grande / ES",Apollo Peixoto,13559
90124,Murilo Castro,8129,2023-12-06,"Quadra de Silveira
Prado
21487-100 Freitas do Oeste / MG",Ana Carolina da Rosa,83865
85741,Emanuel Novais,10709,2023-09-16,"Trevo Aparecida, 992
Santa Tereza
22077-920 Leão Grande / RO",Stephany da Mota,70559
40366,Vinicius Caldeira,4189,2022-07-06,"Fazenda Ana Clara Siqueira
Flamengo
42891-882 Gomes / PI",Melina Cirino,70123
66499,Manuela Vieira,2508,2022-04-15,"Recanto de Cassiano
Vila Formosa
77992-256 Ferreira / MG",Raul Cavalcanti,27084
92555,Isis Vasconcelos,19712,2023-05-30,"Parque de Porto, 199
Vila São João Batista
42179-605 Cavalcante do Campo / SP",Bryan Caldeira,77054
93264,Liam Oliveira,4661,2023-09-12,"Quadra de Siqueira, 946
Vista Do Sol
79803012 Sales de Fogaça / SE",Ravi Lucca Pacheco,13607
95474,João Felipe Guerra,16672,2022-04-14,"Vila Sophie Camargo, 15
Aarão Reis
02268874 Ferreira do Sul / AL",Alícia Casa Grande,727
91862,Daniela Fogaça,10938,2022-12-05,"Travessa Dante Teixeira, 834
Manacas
75785-648 Camargo da Mata / RO",Lucas Gabriel Dias,50049
6361,Enrico Aparecida,11303,2024-02-23,"Viela de da Cruz
Vila Puc
30693-214 Marques / RJ",Dra. Antonella Melo,26469
